4299.00,HUAWEI Mate 50 直屏旗舰 超光变XMAGE影像 北斗卫星消息 低电量应急模式 128GB冰霜银华为鸿蒙,自营
7999.00,Apple iPhone 14 Pro (A2892) 128GB 暗紫色 支持移动联通电信5G 双卡双待手机,自营
3099.00,OPPO 一加 Ace 2 16GB+256GB 冰河蓝 满血版骁龙®8+旗舰平台 1.5K灵犀触控屏 超帧超画引擎 5G游戏电竞,自营
1799.00,Redmi Note 12T Pro 5G 天玑8200-Ultra 真旗舰芯 LCD 旗舰直屏 12GB+256GB 碳纤黑 智能 小米红米,自营
2499.00,OPPO Reno10 8GB+256GB 溢彩蓝 6400 万水光人像 超光影长焦镜头 80W超级闪充 120Hz OLED 超清曲面屏 5G,自营
4888.00,华为/HUAWEI P60 超聚光XMAGE影像 双向北斗卫星消息 256GB 洛可可白 鸿蒙曲面屏 智能旗舰,自营
3399.00,vivo iQOO Neo8 Pro 16GB+512GB 夜岩 天玑9200+ 自研芯片V1+ 120W超快闪充 144Hz高刷 5G游戏电竞性能,自营
909.00,华为畅享 50z 5000万高清AI三摄 5000mAh超能续航 128GB 宝石蓝 大内存鸿蒙智能,自营
7299.00,小米13Ultra 徕卡光学全焦段四摄 2K超色准屏 小米手机 5G手机,自营
1899.00,OPPO K11x 12GB+256GB 珠光 1亿超清影像 超大内存 长寿版 67W 超级闪充 120Hz 高帧竞速屏 5G,自营
1199.00,华为/HUAWEI 畅享60 6000mAh+22.5W超级快充 4800万大底超清影像 128GB 冰晶蓝 鸿蒙智能,自营
3799.00,vivo X90 8GB+256GB 冰蓝 4nm天玑9200旗舰芯片 自研芯片V2 120W双芯闪充 蔡司影像 5G 拍照,自营
2469.00,vivo S17 8GB+256GB 山海青 前置5000万广角柔光 后置智慧柔光环 1.5K超视网膜屏 5G 快充 拍照,自营
3299.00,"京品手机
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待",自营
2999.00,realme真我GT Neo5 240W光速秒充 觉醒光环系统 144Hz 1.5K直屏 骁龙8+ 5G芯 16+1T 紫域幻想 5G,自营
4399.00,魅族 20 PRO 12GB+256GB 曙光银 第二代骁龙8旗舰芯片 5000mAh电池 支持50W无线超充 超薄机身设计 5G,自营
2749.00,HUAWEI nova 11 前置6000万超广角人像 6.88毫米超薄臻彩直屏 256GB 曜金黑 华为鸿蒙智能,自营
5999.00,vivo X Flip 12GB+256GB 菱紫 轻巧优雅设计 魔镜大外屏 悬停蔡司影像 骁龙8+ 芯片 5G 折叠屏 xflip,自营
3349.00,OPPO 一加 Ace 2 原神定制礼盒 18GB+512GB 熔岩红 满血版 18GB 豪华内存 满血版骁龙8+旗舰平台 5G游戏,自营
3688.00,HUAWEI P50 Pro 原色双影像单元 万象双环设计 基于鸿蒙操作系统 8GB+128GB可可茶金 华为,自营
2499.00,【至高优惠1000元】K60 骁龙8+ 超清相机 长续航,自营
1299.00,OPPO K10x 极光 8GB+128GB 67W超级闪充 5000mAh长续航 120Hz高帧屏 6400万三摄 高通骁龙695 拍照 5G,自营
1199.00,OPPO K9x 8GB+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5Goppok9x,自营
3099.00,OPPO 一加 Ace 2 16GB+256GB 冰河蓝 满血版骁龙®8+旗舰平台 1.5K灵犀触控屏 超帧超画引擎 5G游戏电竞,自营
1999.00,荣耀80 1.6亿像素超清主摄 AI Vlog视频大师 全新Magic OS 7.0系统 5G手机 8GB+256GB 墨玉青,自营
2299.00,vivo iQOO Neo8 12GB+256GB 夜岩 第一代骁龙8+ 自研芯片V1+ 120W超快闪充 144Hz高刷 5G游戏电竞性能,自营
4299.00,小米13 徕卡光学镜头 第二代骁龙8处理器 超窄边屏幕,自营
899.00,Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池 6GB +128GB 浅梦星河 智能 小米 红米,自营
1099.00,荣耀Play7T 6000mAh 长续航 8.27mm轻薄机身 6.74英寸高刷护眼屏 5G手机 8GB+128GB 钛空银,自营
